"symbol"	"log2fc"	"pv"	"fdr"	"dataset_id"	"dataset_annot"
"DNAJB14"	0.8551565	0.009062	0.396	"GSE781"	"renal_cell_carcinoma"
"FAM101B"	0.8509119	0.0417184	0.493	"GSE781"	"renal_cell_carcinoma"
"TMEM87B"	0.8489637	0.024039	0.457	"GSE781"	"renal_cell_carcinoma"
"LOC153684"	0.8485744	0.0185849	0.438	"GSE781"	"renal_cell_carcinoma"
"SETD7"	0.8474608	0.0126672	0.416	"GSE781"	"renal_cell_carcinoma"
"CST3"	0.8460814	0.0270549	0.463	"GSE781"	"renal_cell_carcinoma"
"CCT4"	0.8456891	0.0407592	0.493	"GSE781"	"renal_cell_carcinoma"
"STXBP5"	0.844106	0.0101481	0.406	"GSE781"	"renal_cell_carcinoma"
"DGCR5"	0.843818	0.04842	0.506	"GSE781"	"renal_cell_carcinoma"
"DENR"	0.8433355	0.0126049	0.416	"GSE781"	"renal_cell_carcinoma"
"OSMR"	0.8431406	0.0486165	0.506	"GSE781"	"renal_cell_carcinoma"
"MZT1"	0.8424278	0.0048107	0.357	"GSE781"	"renal_cell_carcinoma"
"TMED7-TICAM2///TICAM2"	0.8411609	0.0237853	0.455	"GSE781"	"renal_cell_carcinoma"
"ATG7"	0.8408062	0.0348	0.481	"GSE781"	"renal_cell_carcinoma"
"ITPRIPL2"	0.8381549	0.0425137	0.493	"GSE781"	"renal_cell_carcinoma"
"SFMBT2"	0.8373513	0.0454394	0.499	"GSE781"	"renal_cell_carcinoma"
"SP110"	0.8373094	0.0122196	0.416	"GSE781"	"renal_cell_carcinoma"
"LOC105379362"	0.8368876	0.048269	0.506	"GSE781"	"renal_cell_carcinoma"
"GLIPR2"	0.8347735	0.0232872	0.452	"GSE781"	"renal_cell_carcinoma"
"CACUL1"	0.8346501	0.0443786	0.498	"GSE781"	"renal_cell_carcinoma"
"SLC41A2"	0.8341809	0.0156389	0.426	"GSE781"	"renal_cell_carcinoma"
"MIS18BP1"	0.8333499	0.0434423	0.495	"GSE781"	"renal_cell_carcinoma"
"RBM7"	0.8323116	0.0361698	0.483	"GSE781"	"renal_cell_carcinoma"
"DERL1"	0.8302827	0.0152925	0.424	"GSE781"	"renal_cell_carcinoma"
"GNA13"	0.8300918	0.0048029	0.357	"GSE781"	"renal_cell_carcinoma"
"ATL3"	0.8267862	0.0077299	0.383	"GSE781"	"renal_cell_carcinoma"
"CBX4"	0.8262112	0.004056	0.343	"GSE781"	"renal_cell_carcinoma"
"RSBN1L"	0.8255454	0.0329923	0.476	"GSE781"	"renal_cell_carcinoma"
"NIFK"	0.8244761	0.010876	0.411	"GSE781"	"renal_cell_carcinoma"
"CYYR1"	0.82273	0.0391136	0.489	"GSE781"	"renal_cell_carcinoma"
"ARL6IP6"	0.8224553	0.0252633	0.46	"GSE781"	"renal_cell_carcinoma"
"RSBN1"	0.8216915	0.0288072	0.469	"GSE781"	"renal_cell_carcinoma"
"XPO5"	0.8157031	0.0069406	0.373	"GSE781"	"renal_cell_carcinoma"
"CHST14"	0.8148876	0.010571	0.41	"GSE781"	"renal_cell_carcinoma"
"PHF19"	0.8145676	0.0130361	0.417	"GSE781"	"renal_cell_carcinoma"
"ESYT2"	0.8136508	0.0267315	0.462	"GSE781"	"renal_cell_carcinoma"
"ZCCHC6"	0.8125644	0.0402986	0.493	"GSE781"	"renal_cell_carcinoma"
"ERLEC1"	0.8123217	0.0055834	0.359	"GSE781"	"renal_cell_carcinoma"
"BCAP29"	0.8103646	0.0117869	0.416	"GSE781"	"renal_cell_carcinoma"
"ITFG1"	0.8090193	0.0191008	0.438	"GSE781"	"renal_cell_carcinoma"
"C10orf54"	0.8059045	0.0337611	0.476	"GSE781"	"renal_cell_carcinoma"
"NR2C2AP"	0.8056218	0.0096774	0.4	"GSE781"	"renal_cell_carcinoma"
"SGTB"	0.8047085	0.0317163	0.475	"GSE781"	"renal_cell_carcinoma"
"LOC101930306///RRN3P1///RRN3P2///RRN3"	0.8040331	0.0349028	0.481	"GSE781"	"renal_cell_carcinoma"
"GPR176"	0.8012549	0.0160679	0.43	"GSE781"	"renal_cell_carcinoma"
"PARL"	0.8000822	0.0387304	0.488	"GSE781"	"renal_cell_carcinoma"
"SOS1"	0.7955546	0.0288837	0.469	"GSE781"	"renal_cell_carcinoma"
"GIMAP6"	0.7951942	0.0357241	0.482	"GSE781"	"renal_cell_carcinoma"
"RIMKLA"	0.7945068	0.0496871	0.509	"GSE781"	"renal_cell_carcinoma"
"COX4I2"	0.7944646	0.0124938	0.416	"GSE781"	"renal_cell_carcinoma"
"CASK"	0.7943311	0.0068558	0.371	"GSE781"	"renal_cell_carcinoma"
"GTF3C4"	0.792675	0.0141647	0.422	"GSE781"	"renal_cell_carcinoma"
"CABLES2"	0.7922044	0.0405058	0.493	"GSE781"	"renal_cell_carcinoma"
"C1orf111"	0.7916422	0.0270497	0.463	"GSE781"	"renal_cell_carcinoma"
"RGAG1"	0.7914315	0.0337289	0.476	"GSE781"	"renal_cell_carcinoma"
"ZFP92"	0.7867453	0.0225444	0.448	"GSE781"	"renal_cell_carcinoma"
"SOGA1"	0.7865074	0.018386	0.437	"GSE781"	"renal_cell_carcinoma"
"PIK3CG"	0.7861703	0.0269551	0.463	"GSE781"	"renal_cell_carcinoma"
"PARP14"	0.7837441	0.027732	0.466	"GSE781"	"renal_cell_carcinoma"
"CCDC82"	0.7806292	0.0167349	0.434	"GSE781"	"renal_cell_carcinoma"
"MYBL1"	0.7800207	0.0438619	0.495	"GSE781"	"renal_cell_carcinoma"
"RHOU"	0.7784617	0.0215418	0.444	"GSE781"	"renal_cell_carcinoma"
"CD99P1"	0.777198	0.0482875	0.506	"GSE781"	"renal_cell_carcinoma"
"SNX20"	0.7771115	0.0361938	0.483	"GSE781"	"renal_cell_carcinoma"
"ACTN1"	0.7755047	0.0432234	0.494	"GSE781"	"renal_cell_carcinoma"
"DUSP18"	0.7753939	0.0055369	0.359	"GSE781"	"renal_cell_carcinoma"
"DAGLB"	0.7752901	0.0130515	0.417	"GSE781"	"renal_cell_carcinoma"
"IFNAR2"	0.7735493	0.0253418	0.46	"GSE781"	"renal_cell_carcinoma"
"ASAP1"	0.7718787	0.0114547	0.414	"GSE781"	"renal_cell_carcinoma"
"KMT2A"	0.7717517	0.0272954	0.463	"GSE781"	"renal_cell_carcinoma"
"METTL9"	0.7712946	0.0312534	0.475	"GSE781"	"renal_cell_carcinoma"
"H6PD"	0.7709281	0.0202197	0.438	"GSE781"	"renal_cell_carcinoma"
"SPRY1"	0.7688387	0.0481411	0.506	"GSE781"	"renal_cell_carcinoma"
"GANC"	0.7686792	0.0064951	0.368	"GSE781"	"renal_cell_carcinoma"
"NDE1"	0.7678673	0.0287594	0.469	"GSE781"	"renal_cell_carcinoma"
"NCK1"	0.7659523	0.0224698	0.448	"GSE781"	"renal_cell_carcinoma"
"FAM76B"	0.7648548	0.0129831	0.417	"GSE781"	"renal_cell_carcinoma"
"HECTD2"	0.7643798	0.0269576	0.463	"GSE781"	"renal_cell_carcinoma"
"CASP2"	0.7635569	0.019735	0.438	"GSE781"	"renal_cell_carcinoma"
"CCDC127"	0.7618569	0.0385219	0.488	"GSE781"	"renal_cell_carcinoma"
