"symbol"	"log2fc"	"pv"	"fdr"	"dataset_id"	"dataset_annot"
"SPOPL"	0.5335541	0.0486117	0.506	"GSE781"	"renal_cell_carcinoma"
"DIP2B"	0.5323241	0.0419608	0.493	"GSE781"	"renal_cell_carcinoma"
"NFIA"	0.5304406	0.0446352	0.498	"GSE781"	"renal_cell_carcinoma"
"ATF7"	0.5288093	0.012859	0.416	"GSE781"	"renal_cell_carcinoma"
"GPR75-ASB3///ASB3"	0.528673	0.0413287	0.493	"GSE781"	"renal_cell_carcinoma"
"GNAQ"	0.5273176	0.048748	0.506	"GSE781"	"renal_cell_carcinoma"
"PPIL3"	0.5267365	0.0356856	0.482	"GSE781"	"renal_cell_carcinoma"
"AHCTF1"	0.525467	0.0473594	0.505	"GSE781"	"renal_cell_carcinoma"
"NIN"	0.5253344	0.0368808	0.485	"GSE781"	"renal_cell_carcinoma"
"WDR91"	0.5232539	0.0358773	0.482	"GSE781"	"renal_cell_carcinoma"
"HVCN1"	0.5211956	0.0482626	0.506	"GSE781"	"renal_cell_carcinoma"
"ITPRIP"	0.5187965	0.0379221	0.487	"GSE781"	"renal_cell_carcinoma"
"FBXO45"	0.514605	0.030947	0.475	"GSE781"	"renal_cell_carcinoma"
"STX17"	0.5138024	0.0406381	0.493	"GSE781"	"renal_cell_carcinoma"
"RASAL2"	0.5109092	0.042014	0.493	"GSE781"	"renal_cell_carcinoma"
"LMBRD2"	0.5108914	0.0409696	0.493	"GSE781"	"renal_cell_carcinoma"
"SAAL1"	0.5091762	0.0255913	0.46	"GSE781"	"renal_cell_carcinoma"
"TXNDC12"	0.5067236	0.0448322	0.498	"GSE781"	"renal_cell_carcinoma"
"USP31"	0.5066904	0.0453826	0.498	"GSE781"	"renal_cell_carcinoma"
"WDFY1"	0.5056135	0.0486965	0.506	"GSE781"	"renal_cell_carcinoma"
"PPIG"	0.5025706	0.0416184	0.493	"GSE781"	"renal_cell_carcinoma"
"COL4A3BP"	0.5015424	0.0439229	0.495	"GSE781"	"renal_cell_carcinoma"
"PIK3AP1"	0.5006228	0.0411885	0.493	"GSE781"	"renal_cell_carcinoma"
"RPL35"	0.4986113	0.0438338	0.495	"GSE781"	"renal_cell_carcinoma"
"GPBP1"	0.4979261	0.0386798	0.488	"GSE781"	"renal_cell_carcinoma"
"FOPNL"	0.4974905	0.0487558	0.506	"GSE781"	"renal_cell_carcinoma"
"CDC73"	0.4952657	0.0292745	0.469	"GSE781"	"renal_cell_carcinoma"
"GOLT1B"	0.4946746	0.0479529	0.506	"GSE781"	"renal_cell_carcinoma"
"ABCB10"	0.4922208	0.0491361	0.508	"GSE781"	"renal_cell_carcinoma"
"SCAF11"	0.4915706	0.0485896	0.506	"GSE781"	"renal_cell_carcinoma"
"MCMBP"	0.491341	0.0429075	0.494	"GSE781"	"renal_cell_carcinoma"
"C6orf89"	0.4891235	0.0327643	0.476	"GSE781"	"renal_cell_carcinoma"
"STIM2"	0.4837322	0.0429473	0.494	"GSE781"	"renal_cell_carcinoma"
"ZFP62"	0.4763833	0.0359952	0.483	"GSE781"	"renal_cell_carcinoma"
"PPP4R3B"	0.471403	0.0393929	0.489	"GSE781"	"renal_cell_carcinoma"
"RAP1A"	0.4383009	0.0494615	0.509	"GSE781"	"renal_cell_carcinoma"
"RARS2"	0.437268	0.0388303	0.489	"GSE781"	"renal_cell_carcinoma"
"TPM3"	0.4344864	0.0489217	0.507	"GSE781"	"renal_cell_carcinoma"
"SLC30A6"	0.4236605	0.0381619	0.487	"GSE781"	"renal_cell_carcinoma"
"MAVS"	-0.4880976	0.0436226	0.495	"GSE781"	"renal_cell_carcinoma"
"LINC01140"	-0.491261	0.0293077	0.469	"GSE781"	"renal_cell_carcinoma"
"ATP6V0B"	-0.4949501	0.0435033	0.495	"GSE781"	"renal_cell_carcinoma"
"DBT"	-0.499136	0.037339	0.485	"GSE781"	"renal_cell_carcinoma"
"CREM"	-0.4997587	0.0433796	0.495	"GSE781"	"renal_cell_carcinoma"
"CA5BP1"	-0.5013124	0.0485265	0.506	"GSE781"	"renal_cell_carcinoma"
"THUMPD3"	-0.5020507	0.0395799	0.49	"GSE781"	"renal_cell_carcinoma"
"ABCC5"	-0.5079847	0.023196	0.451	"GSE781"	"renal_cell_carcinoma"
"ULK3"	-0.5177693	0.0391316	0.489	"GSE781"	"renal_cell_carcinoma"
"LOC100130987"	-0.5182665	0.0467235	0.502	"GSE781"	"renal_cell_carcinoma"
"MAP1LC3A"	-0.5522244	0.0202078	0.438	"GSE781"	"renal_cell_carcinoma"
"ATF7IP2"	-0.5635633	0.0255086	0.46	"GSE781"	"renal_cell_carcinoma"
"E2F2"	-0.5675915	0.0241242	0.457	"GSE781"	"renal_cell_carcinoma"
"IL1RL1"	-0.5725353	0.0349587	0.481	"GSE781"	"renal_cell_carcinoma"
"MPRIP"	-0.5784485	0.039316	0.489	"GSE781"	"renal_cell_carcinoma"
"C1orf122"	-0.5822098	0.027454	0.464	"GSE781"	"renal_cell_carcinoma"
"KNDC1"	-0.5863119	0.0299217	0.472	"GSE781"	"renal_cell_carcinoma"
"CNIH4"	-0.5920427	0.0411276	0.493	"GSE781"	"renal_cell_carcinoma"
"FKSG49"	-0.5964845	0.0329256	0.476	"GSE781"	"renal_cell_carcinoma"
"WWC1"	-0.6012149	0.0493424	0.509	"GSE781"	"renal_cell_carcinoma"
"LOC100505984///ITGB6"	-0.6074984	0.0191308	0.438	"GSE781"	"renal_cell_carcinoma"
"HCG18"	-0.6083651	0.016049	0.43	"GSE781"	"renal_cell_carcinoma"
"NICN1"	-0.6093129	0.0336742	0.476	"GSE781"	"renal_cell_carcinoma"
"RNF40"	-0.6098227	0.0469207	0.502	"GSE781"	"renal_cell_carcinoma"
"NDUFAF4"	-0.6105553	0.037553	0.485	"GSE781"	"renal_cell_carcinoma"
"LOC101927157///NIPAL1"	-0.6198659	0.0463819	0.5	"GSE781"	"renal_cell_carcinoma"
"THSD7A"	-0.6253748	0.0335222	0.476	"GSE781"	"renal_cell_carcinoma"
"MRPL55"	-0.6267555	0.0427008	0.493	"GSE781"	"renal_cell_carcinoma"
"HOXB9"	-0.6281117	0.0496796	0.509	"GSE781"	"renal_cell_carcinoma"
"FAM92A1"	-0.6299468	0.0493438	0.509	"GSE781"	"renal_cell_carcinoma"
"SLC24A2"	-0.6310765	0.0170982	0.435	"GSE781"	"renal_cell_carcinoma"
"LRRC37A3"	-0.632628	0.041218	0.493	"GSE781"	"renal_cell_carcinoma"
"ATXN1L"	-0.6330922	0.0425398	0.493	"GSE781"	"renal_cell_carcinoma"
"COA1"	-0.6363367	0.0421411	0.493	"GSE781"	"renal_cell_carcinoma"
"DHX30"	-0.6430445	0.0397737	0.49	"GSE781"	"renal_cell_carcinoma"
"DAP3"	-0.6453679	0.039675	0.49	"GSE781"	"renal_cell_carcinoma"
"OVOL1"	-0.6457415	0.0491001	0.508	"GSE781"	"renal_cell_carcinoma"
"SSC4D"	-0.6465284	0.0409299	0.493	"GSE781"	"renal_cell_carcinoma"
"TMEM116"	-0.6470583	0.0225361	0.448	"GSE781"	"renal_cell_carcinoma"
"RBM5"	-0.6493394	0.0252942	0.46	"GSE781"	"renal_cell_carcinoma"
"ZDHHC21"	-0.6501447	0.0294771	0.469	"GSE781"	"renal_cell_carcinoma"
"PRDM11"	-0.6541537	0.0343799	0.48	"GSE781"	"renal_cell_carcinoma"
"PCSK4"	-0.6554169	0.0127555	0.416	"GSE781"	"renal_cell_carcinoma"
"HOXB-AS3"	-0.6554847	0.0457097	0.499	"GSE781"	"renal_cell_carcinoma"
"ZBTB43"	-0.657205	0.045262	0.498	"GSE781"	"renal_cell_carcinoma"
"CASC7"	-0.660549	0.0479263	0.506	"GSE781"	"renal_cell_carcinoma"
"SLC25A5-AS1"	-0.6651281	0.0229615	0.448	"GSE781"	"renal_cell_carcinoma"
"MEAF6"	-0.6667041	0.0308988	0.475	"GSE781"	"renal_cell_carcinoma"
"PCCA"	-0.6707262	0.0351673	0.481	"GSE781"	"renal_cell_carcinoma"
"SFXN5"	-0.6713437	0.0494828	0.509	"GSE781"	"renal_cell_carcinoma"
"THEM4"	-0.6726154	0.0324508	0.476	"GSE781"	"renal_cell_carcinoma"
"LOXL2"	-0.6731343	0.0317017	0.475	"GSE781"	"renal_cell_carcinoma"
"ZNF777"	-0.6737953	0.0393119	0.489	"GSE781"	"renal_cell_carcinoma"
"RHOBTB3"	-0.6741167	0.0267744	0.462	"GSE781"	"renal_cell_carcinoma"
"GREM2"	-0.6741329	0.0371659	0.485	"GSE781"	"renal_cell_carcinoma"
"MAP1LC3A"	-0.6776578	0.0200343	0.438	"GSE781"	"renal_cell_carcinoma"
"TTC25"	-0.6783414	0.0445035	0.498	"GSE781"	"renal_cell_carcinoma"
"LOC101927338///KCNQ1OT1"	-0.6795327	0.0274881	0.464	"GSE781"	"renal_cell_carcinoma"
"SESN2"	-0.6798223	0.0312753	0.475	"GSE781"	"renal_cell_carcinoma"
"LINC00174"	-0.6805085	0.0395721	0.49	"GSE781"	"renal_cell_carcinoma"
"D2HGDH"	-0.6807339	0.0354987	0.481	"GSE781"	"renal_cell_carcinoma"
"TMEM67"	-0.6808923	0.0332643	0.476	"GSE781"	"renal_cell_carcinoma"
"ULK4"	-0.6809294	0.044773	0.498	"GSE781"	"renal_cell_carcinoma"
"C2orf68"	-0.6814451	0.0146153	0.422	"GSE781"	"renal_cell_carcinoma"
"EPB41L5"	-0.6824064	0.0408084	0.493	"GSE781"	"renal_cell_carcinoma"
"SEPT7P2"	-0.6826382	0.0446516	0.498	"GSE781"	"renal_cell_carcinoma"
"RNF157"	-0.6832816	0.0463457	0.5	"GSE781"	"renal_cell_carcinoma"
"TRIM8"	-0.6833402	0.0286939	0.469	"GSE781"	"renal_cell_carcinoma"
"HACD3"	-0.6870724	0.0192545	0.438	"GSE781"	"renal_cell_carcinoma"
"NUTM2G///NUTM2F"	-0.6893278	0.0290234	0.469	"GSE781"	"renal_cell_carcinoma"
"RNF207"	-0.691115	0.0112797	0.414	"GSE781"	"renal_cell_carcinoma"
"PPARA"	-0.6915605	0.0169194	0.435	"GSE781"	"renal_cell_carcinoma"
"BCR"	-0.693105	0.0087736	0.395	"GSE781"	"renal_cell_carcinoma"
"LOC100128079"	-0.6936749	0.0457713	0.499	"GSE781"	"renal_cell_carcinoma"
"DCAF1"	-0.6959829	0.0172584	0.436	"GSE781"	"renal_cell_carcinoma"
"NPL"	-0.6994466	0.0374499	0.485	"GSE781"	"renal_cell_carcinoma"
"ZDHHC1"	-0.6999851	0.0215554	0.444	"GSE781"	"renal_cell_carcinoma"
"SH3TC2"	-0.7020878	0.0427506	0.493	"GSE781"	"renal_cell_carcinoma"
"LINC01023"	-0.7024328	0.0437223	0.495	"GSE781"	"renal_cell_carcinoma"
"TSPAN12"	-0.7032556	0.0310196	0.475	"GSE781"	"renal_cell_carcinoma"
"SVIP"	-0.7036589	0.040947	0.493	"GSE781"	"renal_cell_carcinoma"
"IP6K2"	-0.7106352	0.0418419	0.493	"GSE781"	"renal_cell_carcinoma"
"LOC101929570"	-0.7116401	0.0436577	0.495	"GSE781"	"renal_cell_carcinoma"
"RGL3"	-0.7119564	0.0498398	0.509	"GSE781"	"renal_cell_carcinoma"
"UNC80"	-0.7120377	0.0396282	0.49	"GSE781"	"renal_cell_carcinoma"
"LRRC28"	-0.7145635	0.0323563	0.476	"GSE781"	"renal_cell_carcinoma"
"COL4A4"	-0.7168134	0.0262618	0.462	"GSE781"	"renal_cell_carcinoma"
"HS3ST4"	-0.7191587	0.0093176	0.399	"GSE781"	"renal_cell_carcinoma"
"KIF9"	-0.7203514	0.0368735	0.485	"GSE781"	"renal_cell_carcinoma"
"FGGY"	-0.7203628	0.0448303	0.498	"GSE781"	"renal_cell_carcinoma"
"ACSS2"	-0.7217969	0.0455106	0.499	"GSE781"	"renal_cell_carcinoma"
"SLC43A2"	-0.7233553	0.0249833	0.459	"GSE781"	"renal_cell_carcinoma"
"RASAL2"	-0.7244227	0.0317773	0.475	"GSE781"	"renal_cell_carcinoma"
"MIR612///NEAT1"	-0.7263829	0.0484786	0.506	"GSE781"	"renal_cell_carcinoma"
"GET4"	-0.7283589	0.032089	0.476	"GSE781"	"renal_cell_carcinoma"
"LOC105376944"	-0.7331059	0.0340458	0.477	"GSE781"	"renal_cell_carcinoma"
"IGF2BP1"	-0.7364658	0.0280103	0.466	"GSE781"	"renal_cell_carcinoma"
"LRP10"	-0.7392559	0.0271711	0.463	"GSE781"	"renal_cell_carcinoma"
"STAC2"	-0.7420739	0.024061	0.457	"GSE781"	"renal_cell_carcinoma"
"FAM57B"	-0.7429584	0.0126061	0.416	"GSE781"	"renal_cell_carcinoma"
"CCDC85C"	-0.7446359	0.0244086	0.457	"GSE781"	"renal_cell_carcinoma"
"FAM222A"	-0.7466102	0.0467855	0.502	"GSE781"	"renal_cell_carcinoma"
"DOT1L"	-0.7494706	0.0086353	0.394	"GSE781"	"renal_cell_carcinoma"
"PPP4R1L"	-0.7500374	0.0361896	0.483	"GSE781"	"renal_cell_carcinoma"
"ZNF221"	-0.7514031	0.0236384	0.454	"GSE781"	"renal_cell_carcinoma"
"SCGB3A2"	-0.7517635	0.0436781	0.495	"GSE781"	"renal_cell_carcinoma"
"SDHC"	-0.7518404	0.0350467	0.481	"GSE781"	"renal_cell_carcinoma"
"CACNG4"	-0.7544132	0.0461154	0.5	"GSE781"	"renal_cell_carcinoma"
"WNT7B"	-0.7581753	0.0369421	0.485	"GSE781"	"renal_cell_carcinoma"
"LOC100134445"	-0.7582637	0.0037925	0.339	"GSE781"	"renal_cell_carcinoma"
"NUTM2B///NUTM2A"	-0.7611628	0.0099888	0.405	"GSE781"	"renal_cell_carcinoma"
"CFAP221"	-0.7612024	0.0491233	0.508	"GSE781"	"renal_cell_carcinoma"
"COX7B2"	-0.76326	0.0176311	0.437	"GSE781"	"renal_cell_carcinoma"
"ZNF542P"	-0.7636247	0.0364603	0.484	"GSE781"	"renal_cell_carcinoma"
"USP53"	-0.7687906	0.0446147	0.498	"GSE781"	"renal_cell_carcinoma"
"HAGLR"	-0.7689351	0.031149	0.475	"GSE781"	"renal_cell_carcinoma"
"CPAMD8"	-0.7699225	0.0103236	0.408	"GSE781"	"renal_cell_carcinoma"
"ARID5B"	-0.7702088	0.0418127	0.493	"GSE781"	"renal_cell_carcinoma"
"DRICH1"	-0.7726248	0.0385733	0.488	"GSE781"	"renal_cell_carcinoma"
"STX3"	-0.7727966	0.0350908	0.481	"GSE781"	"renal_cell_carcinoma"
"CYSTM1"	-0.7765768	0.0355293	0.481	"GSE781"	"renal_cell_carcinoma"
"PRADC1"	-0.7776025	0.043262	0.494	"GSE781"	"renal_cell_carcinoma"
"B4GALNT3"	-0.7783352	0.0490715	0.508	"GSE781"	"renal_cell_carcinoma"
"AP5M1"	-0.7784766	0.0318376	0.475	"GSE781"	"renal_cell_carcinoma"
"TNFRSF19"	-0.7789219	0.0208536	0.44	"GSE781"	"renal_cell_carcinoma"
"RBBP6"	-0.7805126	0.0337264	0.476	"GSE781"	"renal_cell_carcinoma"
"DRC1"	-0.7807206	0.020186	0.438	"GSE781"	"renal_cell_carcinoma"
"LRRC71"	-0.7808356	0.0317435	0.475	"GSE781"	"renal_cell_carcinoma"
"RIF1"	-0.7814378	0.0251535	0.46	"GSE781"	"renal_cell_carcinoma"
"MAP9"	-0.7819932	0.0338857	0.476	"GSE781"	"renal_cell_carcinoma"
"HACD3"	-0.7838579	0.0207558	0.44	"GSE781"	"renal_cell_carcinoma"
"LOC100507520"	-0.7851607	0.0207286	0.44	"GSE781"	"renal_cell_carcinoma"
"ARHGAP27"	-0.7866079	0.0451037	0.498	"GSE781"	"renal_cell_carcinoma"
"SVIP"	-0.7886787	0.012096	0.416	"GSE781"	"renal_cell_carcinoma"
"TMEM86A"	-0.7893928	0.0265321	0.462	"GSE781"	"renal_cell_carcinoma"
"LINC00608"	-0.7894592	0.0348539	0.481	"GSE781"	"renal_cell_carcinoma"
"PCGF3"	-0.7901799	0.0199952	0.438	"GSE781"	"renal_cell_carcinoma"
"ZNF780B"	-0.7938759	0.0402743	0.493	"GSE781"	"renal_cell_carcinoma"
"CLYBL"	-0.7958847	0.0452213	0.498	"GSE781"	"renal_cell_carcinoma"
"SMIM10L2B///SMIM10L2A"	-0.7963926	0.026191	0.462	"GSE781"	"renal_cell_carcinoma"
"LYPLAL1"	-0.797681	0.0386077	0.488	"GSE781"	"renal_cell_carcinoma"
"CCDC71L"	-0.7983733	0.0385263	0.488	"GSE781"	"renal_cell_carcinoma"
"ITPRIPL2"	-0.7991091	0.0246741	0.457	"GSE781"	"renal_cell_carcinoma"
"VEPH1"	-0.7991209	0.0200291	0.438	"GSE781"	"renal_cell_carcinoma"
"LOC100289361"	-0.7997628	0.005477	0.359	"GSE781"	"renal_cell_carcinoma"
"DLG3-AS1"	-0.8002265	0.0064365	0.368	"GSE781"	"renal_cell_carcinoma"
"PDCD2"	-0.8004549	0.0228712	0.448	"GSE781"	"renal_cell_carcinoma"
"CYP3A5"	-0.8013007	0.0475342	0.505	"GSE781"	"renal_cell_carcinoma"
"ZNRF3"	-0.8059939	0.0261051	0.462	"GSE781"	"renal_cell_carcinoma"
"NEDD4L"	-0.8064511	0.026245	0.462	"GSE781"	"renal_cell_carcinoma"
"FARP1"	-0.8072963	0.0391319	0.489	"GSE781"	"renal_cell_carcinoma"
"SLC25A48"	-0.8081347	0.0167117	0.434	"GSE781"	"renal_cell_carcinoma"
"GGN"	-0.8127196	0.0358796	0.482	"GSE781"	"renal_cell_carcinoma"
"LOC440117"	-0.8128192	0.0494638	0.509	"GSE781"	"renal_cell_carcinoma"
"IVD"	-0.8160381	0.0333665	0.476	"GSE781"	"renal_cell_carcinoma"
"SEC14L2"	-0.8199043	0.0371932	0.485	"GSE781"	"renal_cell_carcinoma"
"FOXD3"	-0.8199698	0.0481107	0.506	"GSE781"	"renal_cell_carcinoma"
"LOC101928574///LOC101060181///ZNF44"	-0.8211665	0.0430012	0.494	"GSE781"	"renal_cell_carcinoma"
"FAM92A1"	-0.8230932	0.0205943	0.44	"GSE781"	"renal_cell_carcinoma"
"NUDT16"	-0.8287333	0.0219091	0.446	"GSE781"	"renal_cell_carcinoma"
"SYNE4"	-0.8293258	0.0333677	0.476	"GSE781"	"renal_cell_carcinoma"
"KIF9"	-0.8294944	0.041154	0.493	"GSE781"	"renal_cell_carcinoma"
"BHMT2"	-0.8304809	0.0324293	0.476	"GSE781"	"renal_cell_carcinoma"
"DNASE1"	-0.8311707	0.0448423	0.498	"GSE781"	"renal_cell_carcinoma"
"KRTAP4-5"	-0.8312597	0.0183018	0.437	"GSE781"	"renal_cell_carcinoma"
"LOC102724985///PDXDC2P///PDXDC1"	-0.8362129	0.0034252	0.335	"GSE781"	"renal_cell_carcinoma"
"ZNF503-AS2"	-0.8365527	0.0272066	0.463	"GSE781"	"renal_cell_carcinoma"
"ST3GAL1"	-0.8369554	0.0385134	0.488	"GSE781"	"renal_cell_carcinoma"
"MYZAP"	-0.8397914	0.0126487	0.416	"GSE781"	"renal_cell_carcinoma"
"ZNF300P1"	-0.8411425	0.0227766	0.448	"GSE781"	"renal_cell_carcinoma"
"CCDC180///LOC100499484-C9ORF174"	-0.8416658	0.042846	0.494	"GSE781"	"renal_cell_carcinoma"
"SLC25A35"	-0.8426609	0.0396434	0.49	"GSE781"	"renal_cell_carcinoma"
"CCDC8"	-0.8450662	0.0265967	0.462	"GSE781"	"renal_cell_carcinoma"
"LOC101928162"	-0.8457755	0.0458209	0.499	"GSE781"	"renal_cell_carcinoma"
"PTPN3"	-0.8479069	0.0151168	0.424	"GSE781"	"renal_cell_carcinoma"
"HOXA-AS3"	-0.8560772	0.039229	0.489	"GSE781"	"renal_cell_carcinoma"
"HIGD1A"	-0.8575561	0.0260818	0.462	"GSE781"	"renal_cell_carcinoma"
"SYT6"	-0.8585886	0.014082	0.422	"GSE781"	"renal_cell_carcinoma"
"LOC100129069"	-0.8601177	0.0319542	0.475	"GSE781"	"renal_cell_carcinoma"
"MSI2"	-0.8602756	0.0124537	0.416	"GSE781"	"renal_cell_carcinoma"
"ARHGEF26"	-0.8604126	0.0266581	0.462	"GSE781"	"renal_cell_carcinoma"
"RGS16"	-0.8610128	0.0171715	0.435	"GSE781"	"renal_cell_carcinoma"
"KIAA1161"	-0.8622942	0.0262966	0.462	"GSE781"	"renal_cell_carcinoma"
"NAT8L"	-0.8645346	0.0221998	0.448	"GSE781"	"renal_cell_carcinoma"
"WDFY2"	-0.8657037	0.0375205	0.485	"GSE781"	"renal_cell_carcinoma"
"KLK9///KLK8"	-0.8657773	0.0182132	0.437	"GSE781"	"renal_cell_carcinoma"
"SNORA28///EIF5"	-0.8667133	0.0170286	0.435	"GSE781"	"renal_cell_carcinoma"
"ST8SIA3"	-0.8695786	0.022342	0.448	"GSE781"	"renal_cell_carcinoma"
"MTHFD2L"	-0.8710034	0.0155225	0.426	"GSE781"	"renal_cell_carcinoma"
"HSPB2-C11orf52///C11orf52///HSPB2"	-0.8710679	0.0252233	0.46	"GSE781"	"renal_cell_carcinoma"
"JADE1"	-0.8755393	0.004836	0.357	"GSE781"	"renal_cell_carcinoma"
"MTMR14"	-0.8758173	0.0453677	0.498	"GSE781"	"renal_cell_carcinoma"
"LDB3"	-0.8773207	0.0319868	0.475	"GSE781"	"renal_cell_carcinoma"
"AFDN"	-0.8776914	0.042074	0.493	"GSE781"	"renal_cell_carcinoma"
"CELF5"	-0.8804612	0.047056	0.503	"GSE781"	"renal_cell_carcinoma"
"C1orf116"	-0.8806808	0.0337845	0.476	"GSE781"	"renal_cell_carcinoma"
"AP5B1"	-0.8851024	0.0318942	0.475	"GSE781"	"renal_cell_carcinoma"
"C14orf105"	-0.8851214	0.0342852	0.479	"GSE781"	"renal_cell_carcinoma"
"C10orf82"	-0.8859852	0.0306037	0.474	"GSE781"	"renal_cell_carcinoma"
"JADE1"	-0.8868373	0.028842	0.469	"GSE781"	"renal_cell_carcinoma"
"STARD10"	-0.8888935	0.0219406	0.446	"GSE781"	"renal_cell_carcinoma"
"HYKK"	-0.8902344	0.0317247	0.475	"GSE781"	"renal_cell_carcinoma"
"CENPBD1P1"	-0.8912796	0.0278719	0.466	"GSE781"	"renal_cell_carcinoma"
"MRPS25"	-0.8918379	0.0154904	0.426	"GSE781"	"renal_cell_carcinoma"
"MAP6"	-0.8957188	0.0110406	0.412	"GSE781"	"renal_cell_carcinoma"
"UPP2"	-0.8961498	0.0478748	0.506	"GSE781"	"renal_cell_carcinoma"
"LOC101928464"	-0.8992447	0.0398822	0.491	"GSE781"	"renal_cell_carcinoma"
"SLC25A29"	-0.9000198	0.0208719	0.44	"GSE781"	"renal_cell_carcinoma"
"MTHFD2L"	-0.9003185	0.0289703	0.469	"GSE781"	"renal_cell_carcinoma"
"BEST3"	-0.9020979	0.0350407	0.481	"GSE781"	"renal_cell_carcinoma"
"JARID2-AS1"	-0.9039457	0.0496598	0.509	"GSE781"	"renal_cell_carcinoma"
"KIF9"	-0.9057693	0.022624	0.448	"GSE781"	"renal_cell_carcinoma"
"TMEM177"	-0.9080982	0.0246154	0.457	"GSE781"	"renal_cell_carcinoma"
"CFAP58"	-0.9088695	0.0286601	0.469	"GSE781"	"renal_cell_carcinoma"
"REC114"	-0.9094917	0.0004806	0.322	"GSE781"	"renal_cell_carcinoma"
"SPATA24"	-0.9106307	0.0293577	0.469	"GSE781"	"renal_cell_carcinoma"
"EPB41L5"	-0.9112568	0.0357636	0.482	"GSE781"	"renal_cell_carcinoma"
"LYPD6"	-0.9121911	0.0267754	0.462	"GSE781"	"renal_cell_carcinoma"
"HOXB8"	-0.9144929	0.021403	0.443	"GSE781"	"renal_cell_carcinoma"
"FAN1"	-0.9149555	0.0410752	0.493	"GSE781"	"renal_cell_carcinoma"
"COQ3"	-0.9162564	0.0422488	0.493	"GSE781"	"renal_cell_carcinoma"
"APLP2"	-0.9163811	0.0088885	0.395	"GSE781"	"renal_cell_carcinoma"
"CATSPERG"	-0.9169446	0.0446729	0.498	"GSE781"	"renal_cell_carcinoma"
"MPP5"	-0.917589	0.047739	0.506	"GSE781"	"renal_cell_carcinoma"
"MRPL41"	-0.9201244	0.0384067	0.488	"GSE781"	"renal_cell_carcinoma"
"DIS3L2"	-0.9211689	0.0422637	0.493	"GSE781"	"renal_cell_carcinoma"
"HAGLR"	-0.9254742	0.0272001	0.463	"GSE781"	"renal_cell_carcinoma"
"CFAP70"	-0.9256027	0.0014985	0.322	"GSE781"	"renal_cell_carcinoma"
"C1orf226"	-0.926489	0.0237084	0.454	"GSE781"	"renal_cell_carcinoma"
"KLK7"	-0.9271802	0.0016935	0.322	"GSE781"	"renal_cell_carcinoma"
"CAPN5"	-0.9289358	0.0319101	0.475	"GSE781"	"renal_cell_carcinoma"
"PDZRN3"	-0.9300844	0.0123758	0.416	"GSE781"	"renal_cell_carcinoma"
"CMTM4"	-0.9312452	0.0265207	0.462	"GSE781"	"renal_cell_carcinoma"
"TCEA2"	-0.9359548	0.0107898	0.411	"GSE781"	"renal_cell_carcinoma"
"TRNP1"	-0.9364298	0.039273	0.489	"GSE781"	"renal_cell_carcinoma"
"IBA57"	-0.9372113	0.0200976	0.438	"GSE781"	"renal_cell_carcinoma"
"KIAA1522"	-0.938516	0.0494059	0.509	"GSE781"	"renal_cell_carcinoma"
"HIBADH"	-0.9388943	0.0474302	0.505	"GSE781"	"renal_cell_carcinoma"
"ATP1B3"	-0.9405447	0.0108847	0.411	"GSE781"	"renal_cell_carcinoma"
"SHROOM3"	-0.9412106	0.0423244	0.493	"GSE781"	"renal_cell_carcinoma"
"AGPAT3"	-0.9415931	0.028709	0.469	"GSE781"	"renal_cell_carcinoma"
"COL28A1"	-0.9422706	0.0287123	0.469	"GSE781"	"renal_cell_carcinoma"
"INTS9"	-0.9435991	0.0477548	0.506	"GSE781"	"renal_cell_carcinoma"
"MYNN"	-0.9436015	0.0030375	0.325	"GSE781"	"renal_cell_carcinoma"
"IL1RL1"	-0.9476923	0.003508	0.339	"GSE781"	"renal_cell_carcinoma"
"CLIP3"	-0.9523539	0.0365703	0.484	"GSE781"	"renal_cell_carcinoma"
"MAPK10"	-0.9537889	0.0075718	0.383	"GSE781"	"renal_cell_carcinoma"
"GLYCTK"	-0.953935	0.0241331	0.457	"GSE781"	"renal_cell_carcinoma"
"ALS2CL"	-0.9544636	0.0120848	0.416	"GSE781"	"renal_cell_carcinoma"
"ZNF527"	-0.956808	0.0462793	0.5	"GSE781"	"renal_cell_carcinoma"
"LRRC34"	-0.9586558	0.0247291	0.457	"GSE781"	"renal_cell_carcinoma"
"MRAP2"	-0.9601495	0.0054656	0.359	"GSE781"	"renal_cell_carcinoma"
"NCS1"	-0.9613171	0.0314393	0.475	"GSE781"	"renal_cell_carcinoma"
"CLMN"	-0.9634679	0.035426	0.481	"GSE781"	"renal_cell_carcinoma"
"ZNF793"	-0.9657815	0.0179285	0.437	"GSE781"	"renal_cell_carcinoma"
"CGN"	-0.9680733	0.0290666	0.469	"GSE781"	"renal_cell_carcinoma"
"LOC400043"	-0.9685452	0.0132077	0.417	"GSE781"	"renal_cell_carcinoma"
"MARCH3"	-0.9695612	0.0298198	0.472	"GSE781"	"renal_cell_carcinoma"
"SOX5"	-0.9705539	0.0471445	0.503	"GSE781"	"renal_cell_carcinoma"
"COTL1"	-0.9707751	0.0337961	0.476	"GSE781"	"renal_cell_carcinoma"
"ARMC2"	-0.97192	0.0485738	0.506	"GSE781"	"renal_cell_carcinoma"
"GPR27"	-0.9780696	0.0280041	0.466	"GSE781"	"renal_cell_carcinoma"
